danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,name,artist,genre
0.801,0.767,0,-4.86,1,0.0733,0.318,0.0,0.151,0.749,91.994,1xEBxyr5QI0uvIoRa3WPi4,245347,4,La Locura Automática - Reggaeton,La Secta,Reggaeton
0.831,0.789,0,-5.498,1,0.0661,0.121,0.0,0.328,0.827,101.035,2oeyvFG0mFFDHUxhPVObNk,173867,4,Flow Natural,"Tito ""El Bambino""",Reggaeton
0.679,0.632,11,-9.038,0,0.158,0.0203,0.0,0.15,0.73,178.026,27ALar3f8xkLfXOrKAzDkg,272823,4,Matador - Official Remix,Nova y Jory,Reggaeton
0.805,0.799,2,-7.394,1,0.0727,0.0705,0.00247,0.341,0.804,94.987,6cMmRhuplhTj33YhLtfiQt,214360,4,Eh Oh Eh Oh,Jowell & Randy,Reggaeton
0.808,0.767,1,-4.912,0,0.0445,0.255,0.0197,0.0886,0.722,94.998,388YhDYxPvaDIZQHWqpB4E,206493,4,Punto y Aparte,Tego Calderon,Reggaeton
0.793,0.823,7,-6.39,1,0.0681,0.169,0.00104,0.0986,0.616,91.997,46DW3fyWuL4VZfEwnyWjXg,275360,4,Chulin Culin Chunfly (feat. Residente Calle 13),Voltio,Reggaeton
0.81,0.723,4,-5.2,0,0.194,0.409,0.0,0.137,0.738,92.993,3E2jVBZU7fjRNB0m3PrrhF,222867,4,Nadie Como Tu,Wisin & Yandel,Reggaeton
0.771,0.815,1,-5.423,0,0.0719,0.161,2.01e-05,0.189,0.524,94.016,0Q7ZM15J0cJA9rd7pQYdRq,205520,4,Tu Príncipe,Daddy Yankee,Reggaeton
0.631,0.67,8,-6.958,1,0.153,0.0247,0.0,0.128,0.884,213.99,4uJSxi5beZ9GSzq5OKH09h,185013,4,Permitame,Tony Dize,Reggaeton
0.824,0.909,6,-3.317,1,0.107,0.183,0.0,0.304,0.912,95.999,4h0pA9v7Lz0VWuk0PsoZue,272680,4,A Veces Pienso,Casa De Leones,Reggaeton
0.855,0.912,10,-4.832,0,0.145,0.183,0.0,0.122,0.885,104.072,2Eg6dOam7cAe5turf2bnCg,157023,4,En La Cama (feat. Daddy Yankee),Nicky Jam,Reggaeton
0.804,0.745,4,-5.805,0,0.0744,0.112,0.0,0.0924,0.512,95.024,2iHr1co9ElgzHredwMNKOy,188733,4,Siente El Boom,"Tito ""El Bambino""",Reggaeton
0.806,0.738,2,-4.75,1,0.162,0.221,0.0011,0.156,0.808,176.098,5A2fkyeIbRqwXGkIdadL5q,273160,4,Un Poco Loca (feat. De La Ghetto),Jowell & Randy,Reggaeton
0.845,0.651,2,-7.928,0,0.0606,0.493,0.000888,0.0736,0.913,95.043,0TGXhbsTJ1LohY8HvmxSvT,242521,4,Metele Sazón,Tego Calderon,Reggaeton
0.721,0.728,10,-7.268,0,0.0463,0.346,2.71e-05,0.122,0.79,90.008,5MKnA9nLv9kfB6Dnxqf5Oa,247427,4,Welcome To My Crib,Randy Nota Loka,Reggaeton
0.811,0.672,11,-7.145,0,0.102,0.178,0.0,0.466,0.516,90.005,6viC2tfK0mf86pcqxIoUOG,235760,4,El Telefono,"Héctor ""El Father""",Reggaeton
0.734,0.907,6,-4.433,0,0.0474,0.112,1.62e-05,0.227,0.57,94.965,0m2CS9McLcfM6UNtUBagyn,239223,4,Yo Voy A Legar (feat. Zion),DJ Nelson,Reggaeton
0.665,0.652,11,-5.929,0,0.0615,0.0115,5.77e-06,0.394,0.378,90.021,70RC4syrSC0wZcTHu1AXgQ,216060,4,Somos Dos,Jory Boy,Reggaeton
0.844,0.862,4,-5.043,1,0.114,0.132,1.92e-05,0.066,0.816,95.999,5c9CsmVAhOQ5jQKwmNd5fk,184907,4,Saoco,Wisin,Reggaeton
0.796,0.866,10,-6.087,0,0.0595,0.096,0.00025,0.0561,0.877,94.991,7d05Cx72W1WsWUw7MAD7ia,246080,4,Shorty,Casa De Leones,Reggaeton
0.801,0.716,7,-8.398,0,0.0541,0.285,1e-05,0.163,0.771,94.005,3gvGnkmg8zVZdBAx4B7Cvq,252387,4,Ayer La Vi,Don Omar,Reggaeton
0.719,0.809,1,-5.064,1,0.0354,0.221,0.0,0.287,0.497,94.011,2bt0uIqZR6u67zunXNKDkn,219011,4,Don't Stop,Zion & Lennox,Reggaeton
0.849,0.847,10,-4.81,0,0.133,0.33,0.000546,0.0629,0.82,94.94,3tCdDVn9yseorLuljdFugA,213653,4,Al Natural,Tego Calderon,Reggaeton
0.801,0.896,7,-4.448,0,0.105,0.057,0.0,0.26,0.696,100.006,38Mzy2BNRAAHQ1kzMdoyGw,188547,4,Al Desnudo,Erre XI,Reggaeton
0.868,0.764,4,-6.574,0,0.167,0.119,0.00143,0.0918,0.397,96.994,6ksWMnPcHNyNoNf3y1BQCO,263293,4,Noche De Entierro (Nuestro Amor),Daddy Yankee,Reggaeton
0.873,0.823,6,-3.182,0,0.215,0.378,0.000786,0.145,0.804,95.012,5XxOOXTiDicBrQXv0PAAH6,195816,4,No Quiere Novio (remix) [feat. Nejo & Tego Calderon],DJ Nelson,Reggaeton
0.746,0.617,3,-5.811,0,0.0734,0.0841,0.0,0.21,0.961,87.944,7syG2WcnpcoJvxSZT9VbAa,220853,4,Yo Te Lo Dije,J Balvin,Reggaeton
0.796,0.589,1,-8.1,1,0.0749,0.274,0.0345,0.421,0.764,95.019,0dA58RZci59FbrNbNbhGJj,254669,4,Un Sueño,R.K.M & Ken-Y,Reggaeton
0.608,0.578,1,-11.567,0,0.319,0.175,4.69e-05,0.0787,0.438,94.999,0UJDACz30ouV0IbVA7oiY0,293011,4,"Sácala (feat. Don Omar, Wisin & Yandel)","Héctor ""El Father""",Reggaeton
0.787,0.679,9,-4.913,1,0.0658,0.416,0.0,0.15,0.875,89.988,5lSASgj3h5dWTK7pr4vkBq,240200,4,Quizas - Remix,Tony Dize,Reggaeton
0.79,0.799,9,-5.851,0,0.195,0.115,1.18e-06,0.279,0.752,87.972,1jcVLzOMeWSusUVvxu5bSJ,200720,4,Tranquila,Jadiel,Reggaeton
